TimeGenerated [UTC],Account,Computer,cityname,countryname,latitude,longitude
"3/10/2025, 9:01:24.857 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:01:26.589 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:01:30.783 PM",\DEMO,WORK-NET-US-EAS,,Singapore,1.2929,103.8547
"3/10/2025, 9:01:32.017 PM",\ADMIN,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:01:34.029 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:01:39.316 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:01:41.456 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:01:46.337 PM",\ADMIN,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:01:49.043 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:01:53.525 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:01:56.568 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:01:57.463 PM",\VM,WORK-NET-US-EAS,,Singapore,1.2929,103.8547
"3/10/2025, 9:02:00.668 PM",\ADMIN,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:02:04.013 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:02:07.864 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:02:11.518 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:02:15.043 PM",\ADMIN,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:02:18.994 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:02:22.195 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:02:25.750 PM",CONTOSO.COM\dev,WORK-NET-US-EAS,Barnet,United Kingdom,51.6534,-0.1994
"3/10/2025, 9:02:25.750 PM",CONTOSO.COM\dev,WORK-NET-US-EAS,Newton Aycliffe,United Kingdom,54.6,-1.55
"3/10/2025, 9:02:25.855 PM",\VM1,WORK-NET-US-EAS,,Singapore,1.2929,103.8547
"3/10/2025, 9:02:26.503 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:02:29.441 PM",\ADMIN,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:02:34.094 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:02:36.604 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:02:41.585 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:02:43.833 PM",\ADMIN,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
